loci_name,adjacent_genes_0kb_tss
chr5_40100000_40200000,intergenic
chr5_40200000_40300000,intergenic
chr5_40300000_40400000,intergenic
chr5_40400000_40500000,intergenic
chr5_40500000_40600000,intergenic
chr5_40600000_40700000,intergenic
chr5_40700000_40800000,intergenic
chr5_40800000_40900000,intergenic
chr5_40900000_41000000,intergenic
chr5_41000000_41100000,intergenic
chr5_41100000_41200000,intergenic
chr5_41200000_41300000,intergenic
chr5_41300000_41400000,intergenic
chr5_41400000_41500000,intergenic
chr5_41500000_41600000,intergenic
chr5_41600000_41700000,intergenic
chr5_41700000_41800000,Rab28
chr5_41800000_41900000,Bod1l
chr5_41900000_42000000,intergenic
chr5_42000000_42100000,Gm16223
chr5_42100000_42200000,intergenic
chr5_42200000_42300000,intergenic
chr5_42300000_42400000,intergenic
chr5_42400000_42500000,intergenic
chr5_42500000_42600000,intergenic
chr5_42600000_42700000,intergenic
chr5_42700000_42800000,intergenic
chr5_42800000_42900000,intergenic
chr5_42900000_43000000,intergenic
chr5_43000000_43100000,Gm43700; Gm42711
chr5_43100000_43200000,intergenic
chr5_43200000_43300000,Gm7854; Cpeb2
chr5_43300000_43400000,Gm43020; Gm43699
chr5_43400000_43500000,intergenic
chr5_43500000_43600000,C1qtnf7
chr5_43600000_43700000,Gm15866; Cc2d2a
chr5_43700000_43800000,intergenic
chr5_43800000_43900000,Fbxl5; Bst1; Cd38
chr5_43900000_44000000,Gm7879; Fgfbp1
chr5_44000000_44100000,intergenic
chr5_44100000_44200000,Prom1; Gm16401
chr5_44200000_44300000,Tapt1; Gm42982; Gm42984
chr5_44300000_44400000,intergenic
chr5_44400000_44500000,Gm36017
chr5_44500000_44600000,intergenic
chr5_44600000_44700000,Gm43507
chr5_44700000_44800000,Ldb2
chr5_44800000_44900000,Gm42750
chr5_44900000_45000000,4930431F12Rik
chr5_45000000_45100000,intergenic
chr5_45100000_45200000,intergenic
chr5_45200000_45300000,intergenic
chr5_45300000_45400000,intergenic
chr5_45400000_45500000,D5Ertd615e; Qdpr; Gm42413; Clrn2; Lap3
chr5_45500000_45600000,Med28
chr5_45600000_45700000,Fam184b; 9630001P10Rik; Ncapg
chr5_45700000_45800000,intergenic
chr5_45800000_45900000,Lcorl
chr5_45900000_46000000,intergenic
chr5_46000000_46100000,intergenic
chr5_46100000_46200000,intergenic
chr5_46200000_46300000,intergenic
chr5_46300000_46400000,intergenic
chr5_46400000_46500000,intergenic
chr5_46500000_46600000,intergenic
chr5_46600000_46700000,intergenic
chr5_46700000_46800000,intergenic
chr5_46800000_46900000,intergenic
chr5_46900000_47000000,intergenic
chr5_47000000_47100000,intergenic
chr5_47100000_47200000,intergenic
chr5_47200000_47300000,intergenic
chr5_47300000_47400000,intergenic
chr5_47400000_47500000,intergenic
chr5_47500000_47600000,intergenic
chr5_47600000_47700000,intergenic
chr5_47700000_47800000,intergenic
chr5_47800000_47900000,intergenic
chr5_47900000_48000000,Slit2
chr5_48000000_48100000,4930518C09Rik
chr5_48100000_48200000,intergenic
chr5_48200000_48300000,intergenic
chr5_48300000_48400000,5730480H06Rik
chr5_48400000_48500000,intergenic
chr5_48500000_48600000,Gm20700
chr5_48600000_48700000,intergenic
chr5_48700000_48800000,intergenic
chr5_48800000_48900000,intergenic
chr5_48900000_49000000,intergenic
chr5_49000000_49100000,intergenic
chr5_49100000_49200000,intergenic
chr5_49200000_49300000,intergenic
chr5_49300000_49400000,intergenic
chr5_49400000_49500000,intergenic
chr5_49500000_49600000,Kcnip4
chr5_49600000_49700000,intergenic
chr5_49700000_49800000,intergenic
chr5_49800000_49900000,intergenic
chr5_49900000_50000000,intergenic
chr5_50000000_50100000,Adgra3
chr5_50100000_50200000,4930448I18Rik
chr5_50200000_50300000,intergenic
chr5_50300000_50400000,intergenic
chr5_50400000_50500000,intergenic
chr5_50500000_50600000,Gm43016
chr5_50600000_50700000,intergenic
chr5_50700000_50800000,intergenic
chr5_50800000_50900000,intergenic
chr5_50900000_51000000,intergenic
chr5_51000000_51100000,intergenic
chr5_51100000_51200000,intergenic
chr5_51200000_51300000,intergenic
chr5_51300000_51400000,intergenic
chr5_51400000_51500000,intergenic
chr5_51500000_51600000,Ppargc1a
chr5_51600000_51700000,intergenic
chr5_51700000_51800000,intergenic
chr5_51800000_51900000,intergenic
chr5_51900000_52000000,intergenic
chr5_52000000_52100000,intergenic
chr5_52100000_52200000,Gm43177; Dhx15
chr5_52200000_52300000,C130083M11Rik
chr5_52300000_52400000,Sod3
chr5_52400000_52500000,Ccdc149; Gm3519
chr5_52500000_52600000,Lgi2; Gm43685
chr5_52600000_52700000,8030423F21Rik; Sepsecs
chr5_52700000_52800000,Pi4k2b; Zcchc4
chr5_52800000_52900000,Anapc4
chr5_52900000_53000000,Gm30301
chr5_53000000_53100000,Slc34a2
chr5_53100000_53200000,intergenic
chr5_53200000_53300000,Sel1l3; Smim20; Gm45495
chr5_53300000_53400000,Gm42745
chr5_53400000_53500000,Rbpj
chr5_53500000_53600000,Gm10441; Gm40304
chr5_53600000_53700000,intergenic
chr5_53700000_53800000,Cckar
chr5_53800000_53900000,Tbc1d19
chr5_53900000_54000000,Stim2
chr5_54000000_54100000,intergenic
chr5_54100000_54200000,intergenic
chr5_54200000_54300000,intergenic
chr5_54300000_54400000,Gm10440
chr5_54400000_54500000,intergenic
chr5_54500000_54600000,intergenic
chr5_54600000_54700000,intergenic
chr5_54700000_54800000,intergenic
chr5_54800000_54900000,intergenic
chr5_54900000_55000000,intergenic
chr5_55000000_55100000,intergenic
chr5_55100000_55200000,intergenic
chr5_55200000_55300000,intergenic
chr5_55300000_55400000,intergenic
chr5_55400000_55500000,intergenic
chr5_55500000_55600000,intergenic
chr5_55600000_55700000,intergenic
chr5_55700000_55800000,intergenic
chr5_55800000_55900000,intergenic
chr5_55900000_56000000,intergenic
chr5_56000000_56100000,intergenic
chr5_56100000_56200000,intergenic
chr5_56200000_56300000,intergenic
chr5_56300000_56400000,intergenic
chr5_56400000_56500000,intergenic
chr5_56500000_56600000,intergenic
chr5_56600000_56700000,intergenic
chr5_56700000_56800000,intergenic
chr5_56800000_56900000,intergenic
chr5_56900000_57000000,intergenic
chr5_57000000_57100000,intergenic
chr5_57100000_57200000,intergenic
chr5_57200000_57300000,intergenic
chr5_57300000_57400000,intergenic
chr5_57400000_57500000,intergenic
chr5_57500000_57600000,intergenic
chr5_57600000_57700000,intergenic
chr5_57700000_57800000,Pcdh7
chr5_57800000_57900000,intergenic
chr5_57900000_58000000,intergenic
chr5_58000000_58100000,intergenic
chr5_58100000_58200000,intergenic
chr5_58200000_58300000,intergenic
chr5_58300000_58400000,intergenic
chr5_58400000_58500000,4930459L07Rik
chr5_58500000_58600000,intergenic
chr5_58600000_58700000,intergenic
chr5_58700000_58800000,intergenic
chr5_58800000_58900000,intergenic
chr5_58900000_59000000,intergenic
chr5_59000000_59100000,intergenic
chr5_59100000_59200000,intergenic
chr5_59200000_59300000,intergenic
chr5_59300000_59400000,intergenic
chr5_59400000_59500000,intergenic
chr5_59500000_59600000,Gm43042
chr5_59600000_59700000,intergenic
chr5_59700000_59800000,intergenic
chr5_59800000_59900000,intergenic
chr5_59900000_60000000,4933402J10Rik
chr5_60000000_60100000,intergenic
chr5_60100000_60200000,intergenic
chr5_60200000_60300000,intergenic
chr5_60300000_60400000,intergenic
chr5_60400000_60500000,intergenic
chr5_60500000_60600000,intergenic
chr5_60600000_60700000,intergenic
chr5_60700000_60800000,intergenic
chr5_60800000_60900000,intergenic
chr5_60900000_61000000,intergenic
chr5_61000000_61100000,intergenic
chr5_61100000_61200000,intergenic
chr5_61200000_61300000,intergenic
chr5_61300000_61400000,intergenic
chr5_61400000_61500000,intergenic
chr5_61500000_61600000,intergenic
chr5_61600000_61700000,intergenic
chr5_61700000_61800000,intergenic
chr5_61800000_61900000,intergenic
chr5_61900000_62000000,intergenic
chr5_62000000_62100000,intergenic
chr5_62100000_62200000,intergenic
chr5_62200000_62300000,intergenic
chr5_62300000_62400000,intergenic
chr5_62400000_62500000,intergenic
chr5_62500000_62600000,intergenic
chr5_62600000_62700000,intergenic
chr5_62700000_62800000,Arap2
chr5_62800000_62900000,Dthd1
chr5_62900000_63000000,intergenic
chr5_63000000_63100000,intergenic
chr5_63100000_63200000,intergenic
chr5_63200000_63300000,intergenic
chr5_63300000_63400000,intergenic
chr5_63400000_63500000,intergenic
chr5_63500000_63600000,intergenic
chr5_63600000_63700000,Nwd2
chr5_63700000_63800000,intergenic
chr5_63800000_63900000,0610040J01Rik
chr5_63900000_64000000,Rell1
chr5_64000000_64100000,Pgm2; 5830416I19Rik
chr5_64100000_64200000,Tbc1d1
chr5_64200000_64300000,intergenic
chr5_64300000_64400000,Gm43838; Gm43837
chr5_64400000_64500000,Gm31363; 1700027F09Rik; C030018K13Rik
chr5_64500000_64600000,intergenic
chr5_64600000_64700000,Gm3716; Gm42564; Gm26761
chr5_64700000_64800000,intergenic
chr5_64800000_64900000,Klf3
chr5_64900000_65000000,Tlr1; Fam114a1
chr5_65000000_65100000,Tmem156
chr5_65100000_65200000,Klhl5; Wdr19
chr5_65200000_65300000,intergenic
chr5_65300000_65400000,Rfc1; Klb; Rpl9; Lias
chr5_65400000_65500000,Ugdh; Gm43552
chr5_65500000_65600000,Smim14; Ube2k; Gm42726
chr5_65600000_65700000,Pds5a
chr5_65700000_65800000,N4bp2
chr5_65800000_65900000,Rhoh
chr5_65900000_66000000,Chrna9
chr5_66000000_66100000,9130230L23Rik
chr5_66100000_66200000,Rbm47; Gm26725; 1700126H18Rik
chr5_66200000_66300000,Nsun7
chr5_66300000_66400000,intergenic
chr5_66400000_66500000,intergenic
chr5_66500000_66600000,intergenic
chr5_66600000_66700000,Apbb2; Uchl1os; Uchl1
chr5_66700000_66800000,Limch1
chr5_66800000_66900000,intergenic
chr5_66900000_67000000,Gm15949; Gm15948
chr5_67000000_67100000,Phox2b
chr5_67100000_67200000,intergenic
chr5_67200000_67300000,Gm42670; Tmem33
chr5_67300000_67400000,Slc30a9; Gm43698
chr5_67400000_67500000,Bend4; Gm26756
chr5_67500000_67600000,intergenic
chr5_67600000_67700000,Shisa3; Gm15478
chr5_67700000_67800000,intergenic
chr5_67800000_67900000,Atp8a1; Gm15477
chr5_67900000_68000000,Gm21905; Gm5108
chr5_68000000_68100000,Grxcr1
chr5_68100000_68200000,intergenic
chr5_68200000_68300000,intergenic
chr5_68300000_68400000,intergenic
chr5_68400000_68500000,intergenic
chr5_68500000_68600000,intergenic
chr5_68600000_68700000,intergenic
chr5_68700000_68800000,intergenic
chr5_68800000_68900000,intergenic
chr5_68900000_69000000,intergenic
chr5_69000000_69100000,intergenic
chr5_69100000_69200000,intergenic
chr5_69200000_69300000,intergenic
chr5_69300000_69400000,Kctd8
chr5_69400000_69500000,intergenic
chr5_69500000_69600000,Yipf7; Guf1; Gnpda2
chr5_69600000_69700000,intergenic
chr5_69700000_69800000,intergenic
chr5_69800000_69900000,intergenic
chr5_69900000_70000000,intergenic
chr5_70000000_70100000,intergenic
chr5_70100000_70200000,intergenic
chr5_70200000_70300000,intergenic
chr5_70300000_70400000,intergenic
chr5_70400000_70500000,intergenic
chr5_70500000_70600000,intergenic
chr5_70600000_70700000,intergenic
chr5_70700000_70800000,intergenic
chr5_70800000_70900000,Gabrg1
chr5_70900000_71000000,intergenic
chr5_71000000_71100000,Gabra2
chr5_71100000_71200000,intergenic
chr5_71200000_71300000,intergenic
chr5_71300000_71400000,intergenic
chr5_71400000_71500000,intergenic
chr5_71500000_71600000,Cox7b2
chr5_71600000_71700000,Gabra4; Gabrb1; Gm38562
chr5_71700000_71800000,intergenic
chr5_71800000_71900000,intergenic
chr5_71900000_72000000,intergenic
chr5_72000000_72100000,intergenic
chr5_72100000_72200000,Commd8
chr5_72200000_72300000,intergenic
chr5_72300000_72400000,Gm20647
chr5_72400000_72500000,intergenic
chr5_72500000_72600000,Corin; Nfxl1; Zar1
chr5_72600000_72700000,Cnga1; Nipal1
chr5_72700000_72800000,Txk
chr5_72800000_72900000,Tec
chr5_72900000_73000000,Slain2; Gm10135
chr5_73000000_73100000,Slc10a4
chr5_73100000_73200000,1700071G01Rik
chr5_73200000_73300000,Fryl; Gm34411; 1700025M24Rik; Ociad1
chr5_73300000_73400000,Ociad2
chr5_73400000_73500000,Cwh43; Dcun1d4
chr5_73500000_73600000,intergenic
chr5_73600000_73700000,Lrrc66; Sgcb; Spata18
chr5_73700000_73800000,intergenic
chr5_73800000_73900000,intergenic
chr5_73900000_74000000,1700019F05Rik; C78283
chr5_74000000_74100000,Usp46; Usp46os1
chr5_74100000_74200000,Rasl11b
chr5_74200000_74300000,intergenic
chr5_74300000_74400000,intergenic
chr5_74400000_74500000,intergenic
chr5_74500000_74600000,Scfd2; Fip1l1
chr5_74600000_74700000,intergenic
chr5_74700000_74800000,Lnx1; Gm15984; Gm15985
chr5_74800000_74900000,intergenic
chr5_74900000_75000000,Gm6116
chr5_75000000_75100000,Chic2; Gsx2
chr5_75100000_75200000,Gm19583; Pdgfra
chr5_75200000_75300000,intergenic
chr5_75300000_75400000,Gm42800
chr5_75400000_75500000,intergenic
chr5_75500000_75600000,Kit
chr5_75600000_75700000,intergenic
chr5_75700000_75800000,Gm43101
chr5_75800000_75900000,Gm19590; Gm28865
chr5_75900000_76000000,Kdr
chr5_76000000_76100000,Gm32780
chr5_76100000_76200000,Srd5a3; Tmem165
chr5_76200000_76300000,intergenic
chr5_76300000_76400000,Clock; Gm7467; Pdcl2; Nmu
chr5_76400000_76500000,Gm7271
chr5_76500000_76600000,Exoc1; Cep135
chr5_76600000_76700000,C530008M17Rik
chr5_76700000_76800000,intergenic
chr5_76800000_76900000,intergenic
chr5_76900000_77000000,Aasdh; Ppat; 2310040G07Rik; Paics; Srp72
chr5_77000000_77100000,Arl9; 1700112J05Rik; Thegl; Hopxos
chr5_77100000_77200000,Hopx; Gm15831
chr5_77200000_77300000,Spink2; Rest
chr5_77300000_77400000,Noa1; Polr2b; Gm34648
chr5_77400000_77500000,Igfbp7; Gm34728; Gm42761
chr5_77500000_77600000,intergenic
chr5_77600000_77700000,intergenic
chr5_77700000_77800000,intergenic
chr5_77800000_77900000,intergenic
chr5_77900000_78000000,intergenic
chr5_78000000_78100000,intergenic
chr5_78100000_78200000,intergenic
chr5_78200000_78300000,intergenic
chr5_78300000_78400000,intergenic
chr5_78400000_78500000,intergenic
chr5_78500000_78600000,intergenic
chr5_78600000_78700000,intergenic
chr5_78700000_78800000,intergenic
chr5_78800000_78900000,intergenic
chr5_78900000_79000000,intergenic
chr5_79000000_79100000,intergenic
chr5_79100000_79200000,intergenic
chr5_79200000_79300000,intergenic
chr5_79300000_79400000,intergenic
chr5_79400000_79500000,intergenic
chr5_79500000_79600000,intergenic
chr5_79600000_79700000,intergenic
chr5_79700000_79800000,intergenic
chr5_79800000_79900000,intergenic
chr5_79900000_80000000,intergenic
chr5_80000000_80100000,intergenic
chr5_80100000_80200000,intergenic
chr5_80200000_80300000,intergenic
chr5_80300000_80400000,intergenic
chr5_80400000_80500000,intergenic
chr5_80500000_80600000,intergenic
chr5_80600000_80700000,intergenic
chr5_80700000_80800000,intergenic
chr5_80800000_80900000,intergenic
chr5_80900000_81000000,intergenic
chr5_81000000_81100000,Adgrl3
chr5_81100000_81200000,intergenic
chr5_81200000_81300000,intergenic
chr5_81300000_81400000,intergenic
chr5_81400000_81500000,intergenic
chr5_81500000_81600000,intergenic
chr5_81600000_81700000,intergenic
chr5_81700000_81800000,Gm16054
chr5_81800000_81900000,intergenic
chr5_81900000_82000000,intergenic
chr5_82000000_82100000,intergenic
chr5_82100000_82200000,intergenic
chr5_82200000_82300000,intergenic
chr5_82300000_82400000,intergenic
chr5_82400000_82500000,intergenic
chr5_82500000_82600000,intergenic
chr5_82600000_82700000,intergenic
chr5_82700000_82800000,intergenic
chr5_82800000_82900000,intergenic
chr5_82900000_83000000,intergenic
chr5_83000000_83100000,intergenic
chr5_83100000_83200000,intergenic
chr5_83200000_83300000,intergenic
chr5_83300000_83400000,Tecrl
chr5_83400000_83500000,intergenic
chr5_83500000_83600000,intergenic
chr5_83600000_83700000,intergenic
chr5_83700000_83800000,intergenic
chr5_83800000_83900000,intergenic
chr5_83900000_84000000,intergenic
chr5_84000000_84100000,intergenic
chr5_84100000_84200000,intergenic
chr5_84200000_84300000,intergenic
chr5_84300000_84400000,intergenic
chr5_84400000_84500000,Epha5; Gm43532
chr5_84500000_84600000,intergenic
chr5_84600000_84700000,intergenic
chr5_84700000_84800000,intergenic
chr5_84800000_84900000,intergenic
chr5_84900000_85000000,intergenic
chr5_85000000_85100000,intergenic
chr5_85100000_85200000,intergenic
chr5_85200000_85300000,intergenic
chr5_85300000_85400000,intergenic
chr5_85400000_85500000,intergenic
chr5_85500000_85600000,intergenic
chr5_85600000_85700000,intergenic
chr5_85700000_85800000,intergenic
chr5_85800000_85900000,intergenic
chr5_85900000_86000000,intergenic
chr5_86000000_86100000,Cenpc1; Stap1
chr5_86100000_86200000,Uba6; Gnrhr
chr5_86200000_86300000,Tmprss11c
chr5_86300000_86400000,Tmprss11d
chr5_86400000_86500000,Tmprss11a
chr5_86500000_86600000,Tmprss11g
chr5_86600000_86700000,Tmprss11f; Tmprss11b; Gm43056
chr5_86700000_86800000,Tmprss11e; Gm43055; Gm43057
chr5_86800000_86900000,Ythdc1
chr5_86900000_87000000,Ugt2b34; Ugt2b1
chr5_87000000_87100000,Ugt2b35; Ugt2b36
chr5_87100000_87200000,Ugt2b5
chr5_87200000_87300000,Ugt2b37
chr5_87300000_87400000,Ugt2a3
chr5_87400000_87500000,Ugt2b38; Ugt2a1
chr5_87500000_87600000,Sult1b1; Sult1e1
chr5_87600000_87700000,Csn1s1
chr5_87700000_87800000,Csn1s2a
chr5_87800000_87900000,Prr27; Odam
chr5_87900000_88000000,1700066N21Rik; Csn3; Gm28434
chr5_88000000_88100000,Smr2
chr5_88100000_88200000,intergenic
chr5_88200000_88300000,Gm7714
chr5_88300000_88400000,Amtn
chr5_88400000_88500000,Ambn; Enam
chr5_88500000_88600000,Jchain; Utp3; Rufy3
chr5_88600000_88700000,Grsf1
chr5_88700000_88800000,Mob1b; Dck; Gm42912
chr5_88800000_88900000,Slc4a4
chr5_88900000_89000000,intergenic
chr5_89000000_89100000,intergenic
chr5_89100000_89200000,intergenic
chr5_89200000_89300000,intergenic
chr5_89300000_89400000,intergenic
chr5_89400000_89500000,Gc
chr5_89500000_89600000,Npffr2
chr5_89600000_89700000,intergenic
chr5_89700000_89800000,intergenic
chr5_89800000_89900000,Adamts3
chr5_89900000_90000000,intergenic
chr5_90000000_90100000,intergenic
chr5_90100000_90200000,intergenic
chr5_90200000_90300000,Cox18
chr5_90300000_90400000,Ankrd17; Gm9958
chr5_90400000_90500000,Alb; Afp
chr5_90500000_90600000,Gm43449; Afm
chr5_90600000_90700000,Rassf6
chr5_90700000_90800000,Cxcl5; Pf4; Cxcl15
chr5_90800000_90900000,intergenic
chr5_90900000_91000000,Mthfd2l
chr5_91000000_91100000,Epgn; Gm19610; Ereg
chr5_91100000_91200000,Areg
chr5_91200000_91300000,Gm19619
chr5_91300000_91400000,intergenic
chr5_91400000_91500000,Btc
chr5_91500000_91600000,Parm1
chr5_91600000_91700000,intergenic
chr5_91700000_91800000,Gm28271
chr5_91800000_91900000,intergenic
chr5_91900000_92000000,Gm43688; Rchy1; Odaph
chr5_92000000_92100000,Cdkl2; G3bp2
chr5_92100000_92200000,Uso1
chr5_92200000_92300000,U90926; Ppef2; Naaa; Gm43599
chr5_92300000_92400000,Sdad1; Art3
chr5_92400000_92500000,Nup54
chr5_92500000_92600000,Scarb2; Fam47e
chr5_92600000_92700000,Stbd1; Ccdc158; Shroom3
chr5_92700000_92800000,intergenic
chr5_92800000_92900000,intergenic
chr5_92900000_93000000,intergenic
chr5_93000000_93100000,Sowahb
chr5_93100000_93200000,intergenic
chr5_93200000_93300000,Ccni; 2010109A12Rik; Ccng2
chr5_93300000_93400000,intergenic
chr5_93400000_93500000,intergenic
chr5_93500000_93600000,Gm16427
chr5_93600000_93700000,C87414
chr5_93700000_93800000,intergenic
chr5_93800000_93900000,intergenic
chr5_93900000_94000000,Gm16429
chr5_94000000_94100000,BC061212
chr5_94100000_94200000,intergenic
chr5_94200000_94300000,intergenic
chr5_94300000_94400000,AA792892
chr5_94400000_94500000,intergenic
chr5_94500000_94600000,Gm3139
chr5_94600000_94700000,Gm6205
chr5_94700000_94800000,intergenic
chr5_94800000_94900000,Gm3183
chr5_94900000_95000000,Gm6367
chr5_95000000_95100000,intergenic
chr5_95100000_95200000,intergenic
chr5_95200000_95300000,intergenic
chr5_95300000_95400000,Gm3259
chr5_95400000_95500000,D5Ertd577e
chr5_95500000_95600000,intergenic
chr5_95600000_95700000,intergenic
chr5_95700000_95800000,E330014E10Rik
chr5_95800000_95900000,intergenic
chr5_95900000_96000000,Cxcl13
chr5_96000000_96100000,intergenic
chr5_96100000_96200000,Cnot6l
chr5_96200000_96300000,Mrpl1
chr5_96300000_96400000,Fras1
chr5_96400000_96500000,Gm33050
chr5_96500000_96600000,intergenic
chr5_96600000_96700000,intergenic
chr5_96700000_96800000,Gm42604; Anxa3
chr5_96800000_96900000,1700016F12Rik; Gm42601
chr5_96900000_97000000,Gm33370; Gm8013; Gm9484; Bmp2k
chr5_97000000_97100000,intergenic
chr5_97100000_97200000,Paqr3; Gm33609; Gm2861
chr5_97200000_97300000,intergenic
chr5_97300000_97400000,Gm33969; Naa11; 4930467D21Rik
chr5_97400000_97500000,Gk2
chr5_97500000_97600000,intergenic
chr5_97600000_97700000,intergenic
chr5_97700000_97800000,intergenic
chr5_97800000_97900000,intergenic
chr5_97900000_98000000,intergenic
chr5_98000000_98100000,Antxr2
chr5_98100000_98200000,Prdm8; A730035I17Rik
chr5_98200000_98300000,Fgf5
chr5_98300000_98400000,intergenic
chr5_98400000_98500000,intergenic
chr5_98500000_98600000,1700010H22Rik
chr5_98600000_98700000,intergenic
chr5_98700000_98800000,intergenic
chr5_98800000_98900000,Bmp3
chr5_98900000_99000000,intergenic
chr5_99000000_99100000,Prkg2
chr5_99100000_99200000,Gm43251
chr5_99200000_99300000,Gm35394
chr5_99300000_99400000,intergenic
chr5_99400000_99500000,intergenic
chr5_99500000_99600000,Gm35172
chr5_99600000_99700000,4930405H06Rik; Gm16226
chr5_99700000_99800000,Rasgef1b; Gm38413
chr5_99800000_99900000,intergenic
chr5_99900000_100000000,Hnrnpd; Gm17092
chr5_100000000_100100000,Hnrnpdl; Enoph1; Tmem150cos
chr5_100100000_100200000,Tmem150c; Gm9932
chr5_100200000_100300000,2310034O05Rik
chr5_100300000_100400000,intergenic
chr5_100400000_100500000,Sec31a; 5430416N02Rik
chr5_100500000_100600000,Lin54; Cops4; Plac8
chr5_100600000_100700000,Coq2; Gm15777
chr5_100700000_100800000,Hpse; Helq; Mrps18c
chr5_100800000_100900000,Abraxas1; 4930458D05Rik; Gpat3
chr5_100900000_101000000,Gm36793
chr5_101000000_101100000,intergenic
chr5_101100000_101200000,intergenic
chr5_101200000_101300000,intergenic
chr5_101300000_101400000,intergenic
chr5_101400000_101500000,intergenic
chr5_101500000_101600000,intergenic
chr5_101600000_101700000,intergenic
chr5_101700000_101800000,Gm42133; 9430085M18Rik; Cds1
chr5_101800000_101900000,Gm20548
chr5_101900000_102000000,intergenic
chr5_102000000_102100000,Wdfy3; Gm29707
chr5_102100000_102200000,intergenic
chr5_102200000_102300000,intergenic
chr5_102300000_102400000,intergenic
chr5_102400000_102500000,1700013M08Rik; Arhgap24
chr5_102500000_102600000,intergenic
chr5_102600000_102700000,intergenic
chr5_102700000_102800000,intergenic
chr5_102800000_102900000,intergenic
chr5_102900000_103000000,intergenic
chr5_103000000_103100000,intergenic
chr5_103100000_103200000,intergenic
chr5_103200000_103300000,Mapk10; 4930429D17Rik
chr5_103300000_103400000,5430427N15Rik
chr5_103400000_103500000,Ptpn13
chr5_103500000_103600000,Gm42620
chr5_103600000_103700000,Slc10a6; 1700016H13Rik; Aff1
chr5_103700000_103800000,intergenic
chr5_103800000_103900000,intergenic
chr5_103900000_104000000,Klhl8; Hsd17b13
chr5_104000000_104100000,Hsd17b11; Nudt9; Gm17660
chr5_104100000_104200000,Sparcl1; Gm26703; Dspp
chr5_104200000_104300000,Dmp1; Ibsp
chr5_104300000_104400000,Mepe
chr5_104400000_104500000,Spp1; Pkd2
chr5_104500000_104600000,intergenic
chr5_104600000_104700000,intergenic
chr5_104700000_104800000,intergenic
chr5_104800000_104900000,Zfp951
chr5_104900000_105000000,Abcg3
chr5_105000000_105100000,intergenic
chr5_105100000_105200000,Gbp8
chr5_105200000_105300000,Gm43302
chr5_105300000_105400000,intergenic
chr5_105400000_105500000,Gm26519; Gm32051; Lrrc8b
chr5_105500000_105600000,Lrrc8c
chr5_105600000_105700000,Lrrc8d
chr5_105700000_105800000,intergenic
chr5_105800000_105900000,Lrrc8dos; Zfp326
chr5_105900000_106000000,intergenic
chr5_106000000_106100000,intergenic
chr5_106100000_106200000,intergenic
chr5_106200000_106300000,intergenic
chr5_106300000_106400000,Gm42916
chr5_106400000_106500000,Barhl2; Gm26872
chr5_106500000_106600000,Gm28050; Gm29464
chr5_106600000_106700000,Zfp644
chr5_106700000_106800000,intergenic
chr5_106800000_106900000,intergenic
chr5_106900000_107000000,Hfm1; Cdc7
chr5_107000000_107100000,Gm33474
chr5_107100000_107200000,intergenic
chr5_107200000_107300000,Tgfbr3
chr5_107300000_107400000,Brdt
chr5_107400000_107500000,Gm42902; Ephx4; Gm17202; Lpcat2b
chr5_107500000_107600000,Gm42669; Glmn; Rpap2
chr5_107600000_107700000,A930041C12Rik; Gm26692
chr5_107700000_107800000,4930428O21Rik; Gfi1
chr5_107800000_107900000,Evi5; Ube2d2b
chr5_107900000_108000000,Rpl5
chr5_108000000_108100000,Mtf2
chr5_108100000_108200000,Tmed5; Ccdc18
chr5_108200000_108300000,Dr1
chr5_108300000_108400000,Pigg; 9330198I05Rik; Gm42518; Gm42517; Gm10419; Pde6b
chr5_108400000_108500000,Atp5k; Mfsd7a; Pcgf3
chr5_108500000_108600000,Cplx1
chr5_108600000_108700000,Gak; Tmem175; Dgkq; Idua; Slc26a1; Fgfrl1
chr5_108700000_108800000,Rnf212; 1700047L14Rik; Tmed11
chr5_108800000_108900000,Vmn2r8; Gm20629
chr5_108900000_109000000,intergenic
chr5_109000000_109100000,Vmn2r10; Vmn2r11; Vmn2r12
chr5_109100000_109200000,Vmn2r13
chr5_109200000_109300000,Vmn2r15
chr5_109300000_109400000,Vmn2r16
chr5_109400000_109500000,Vmn2r17
chr5_109500000_109600000,Crlf2
chr5_109600000_109700000,5430403G16Rik
chr5_109700000_109800000,4930522L14Rik; A430073D23Rik
chr5_109800000_109900000,Gm26779
chr5_109900000_110000000,Gm15446; 1010001B22Rik; Zfp932
chr5_110000000_110100000,Gm17655; Gm35315; Plcxd1
chr5_110100000_110200000,Gtpbp6; Zfp605; Chfr; Gm43136; Golga3
chr5_110200000_110300000,Gm43137; Ankle2; Pgam5; Gm15788; Pxmp2; Pole
chr5_110300000_110400000,P2rx2; Lrcol1
chr5_110400000_110500000,Fbrsl1; Gm42596
chr5_110500000_110600000,A630023P12Rik; Galnt9
chr5_110600000_110700000,Noc4l; Ddx51; Gm42595
chr5_110700000_110800000,Ep400; Gm15559; Pus1
chr5_110800000_110900000,Ulk1; Hscb; Chek2; Ttc28
chr5_110900000_111000000,intergenic
chr5_111000000_111100000,intergenic
chr5_111100000_111200000,intergenic
chr5_111200000_111300000,intergenic
chr5_111300000_111400000,Pitpnb; Gm43118
chr5_111400000_111500000,Mn1
